Id,c_l4,g_l4
830,4.5,775
831,4.5,85
832,4.5,832
833,4.5,2421
834,4.5,1565
835,4.5,11125
836,4.5,957
837,4.5,1063
838,4.5,910
839,4.5,839
840,4.5,839
841,4.5,425
842,4.5,882
843,4.5,415
844,4.5,212
845,4.5,85
846,4.5,845
847,4.5,847
848,4.5,4351
849,4.5,2943
850,4.5,3101
851,4.5,823
852,4.5,823
853,4.5,295
854,4.5,3141
855,4.5,1063
856,4.5,856
857,4.5,1
858,4.5,1
859,4.5,124
860,4.5,860
861,4.5,861
862,4.5,812
863,4.5,812
864,4.5,864
865,4.5,865
866,4.5,2421
867,4.5,1565
868,4.5,4659
869,4.5,4659
870,4.5,870
871,4.5,871
872,4.5,872
873,4.5,873
874,4.5,415
875,4.5,5208
876,4.5,85
877,4.5,1237
878,4.5,5926
879,4.5,1063
880,4.5,1063
881,4.5,881
882,4.5,882
883,4.5,1
884,4.5,7007
885,4.5,5374
886,4.5,415
887,4.5,150
888,4.5,882
889,4.5,889
890,4.5,889
891,4.5,487
892,4.5,85
893,4.5,212
894,4.5,150
895,4.5,285
896,4.5,1457
897,4.5,212
898,4.5,898
899,4.5,22085
900,4.5,1237
901,4.5,5255
902,4.5,902
903,4.5,32844
904,4.5,13107
905,4.5,16639
906,4.5,2421
907,4.5,1602
908,4.5,908
909,4.5,89
910,4.5,910
911,4.5,7414
912,4.5,1063
913,4.5,1063
914,4.5,914
915,4.5,915
916,4.5,10205
917,4.5,1248
918,4.5,1602
919,4.5,2846
920,4.5,8127
921,4.5,921
922,4.5,922
923,4.5,923
924,4.5,2943
925,4.5,924
926,4.5,404
927,4.5,775
928,4.5,66
929,4.5,5926
930,4.5,930
931,4.5,85
932,4.5,695
933,4.5,695
934,4.5,935
935,4.5,935
936,4.5,936
937,4.5,2714
938,4.5,2714
939,4.5,1122
940,4.5,425
941,4.5,425
942,4.5,942
943,4.5,942
944,4.5,728
945,4.5,5926
946,4.5,133
947,4.5,695
948,4.5,85
949,4.5,463
950,4.5,950
951,4.5,3780
952,4.5,2421
953,4.5,711
954,4.5,954
955,4.5,1
956,4.5,2775
957,4.5,85
958,4.5,957
959,4.5,957
960,4.5,960
961,4.5,5926
962,4.5,5926
963,4.5,963
964,4.5,4351
965,4.5,882
966,4.5,76
967,4.5,967
968,4.5,150
969,4.5,70
970,4.5,556
971,4.5,910
972,4.5,695
973,4.5,695
974,4.5,1
975,4.5,151
976,4.5,3141
977,4.5,978
978,4.5,978
979,4.5,695
980,4.5,5926
981,4.5,981
982,4.5,3101
983,4.5,2943
984,4.5,695
985,4.5,212
986,4.5,1887
987,4.5,23476
988,4.5,1602
989,4.5,1602
990,4.5,425
991,4.5,16639
992,4.5,991
993,4.5,5926
994,4.5,1063
995,4.5,995
996,4.5,2108
997,4.5,66
998,4.5,2943
999,4.5,999
1000,4.5,2421
1001,4.5,212
1002,4.5,212
1003,4.5,85
1004,4.5,4504
1005,4.5,695
1006,4.5,1006
1007,4.5,796
1008,4.5,24287
1009,4.5,1009
1010,4.5,1010
1011,4.5,1011
1012,4.5,1013
1013,4.5,695
1014,4.5,1014
1015,4.5,1
1016,4.5,212
1017,4.5,1017
1018,4.5,19993
1019,4.5,1019
1020,4.5,1020
1021,4.5,2259
1022,4.5,15775
1023,4.5,404
1024,4.5,882
1025,4.5,1024
1026,4.5,910
1027,4.5,1122
1028,4.5,14717
1029,4.5,14717
1030,4.5,2559
1031,4.5,212
1032,4.5,1032
1033,4.5,1032
1034,4.5,695
1035,4.5,1457
1036,4.5,415
1037,4.5,12031
1038,4.5,1037
1039,4.5,5562
1040,4.5,1040
1041,4.5,1041
1042,4.5,1248
1043,4.5,425
1044,4.5,4572
1045,4.5,457
1046,4.5,7414
1047,4.5,1596
1048,4.5,1248
1049,4.5,1050
1050,4.5,1049
